epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,420.989,0.31359,0.71364,0.84669,0.99302,1,0.995,0.97827,0.33249,0.97937,0.77106,0.0007526,0.0007526,0.0007526
65,427.539,0.3993,0.66996,0.83501,0.99302,1,0.995,0.97827,0.33249,0.97937,0.77106,0.0007328,0.0007328,0.0007328
66,434.029,0.31812,0.62404,0.83176,0.99262,1,0.995,0.96378,0.32972,0.99838,0.77481,0.000713,0.000713,0.000713
67,440.561,0.31742,0.63286,0.8429,0.99262,1,0.995,0.96378,0.32972,0.99838,0.77481,0.0006932,0.0006932,0.0006932
68,447.14,0.34005,0.676,0.85615,0.99201,1,0.995,0.94241,0.34522,0.95446,0.78228,0.0006734,0.0006734,0.0006734
69,453.717,0.31294,0.64716,0.8418,0.99201,1,0.995,0.94241,0.34522,0.95446,0.78228,0.0006536,0.0006536,0.0006536
70,460.452,0.32217,0.60125,0.8424,0.992,1,0.995,0.94866,0.32027,0.90483,0.77581,0.0006338,0.0006338,0.0006338
71,467.849,0.36135,0.64047,0.83869,0.992,1,0.995,0.94866,0.32027,0.90483,0.77581,0.000614,0.000614,0.000614
72,475.362,0.3138,0.59914,0.86646,0.99228,1,0.995,0.94241,0.28888,0.84308,0.77101,0.0005942,0.0005942,0.0005942
73,482.117,0.30892,0.5826,0.82154,0.99228,1,0.995,0.94241,0.28888,0.84308,0.77101,0.0005744,0.0005744,0.0005744
74,489.358,0.34678,0.62382,0.83177,0.9922,1,0.995,0.9346,0.29031,0.83518,0.772,0.0005546,0.0005546,0.0005546
75,496.232,0.31159,0.59689,0.84595,0.9922,1,0.995,0.9346,0.29031,0.83518,0.772,0.0005348,0.0005348,0.0005348
76,502.846,0.32544,0.6079,0.83608,0.99339,1,0.995,0.9346,0.2878,0.86112,0.77176,0.000515,0.000515,0.000515
77,509.533,0.32689,0.57028,0.83916,0.99339,1,0.995,0.9346,0.2878,0.86112,0.77176,0.0004952,0.0004952,0.0004952
78,515.936,0.32431,0.61748,0.82472,0.99405,1,0.995,0.95141,0.2888,0.8614,0.77038,0.0004754,0.0004754,0.0004754
79,522.603,0.29408,0.60547,0.84558,0.99405,1,0.995,0.95141,0.2888,0.8614,0.77038,0.0004556,0.0004556,0.0004556
80,529.454,0.30916,0.57665,0.80731,0.99425,1,0.995,0.95141,0.28287,0.82302,0.76814,0.0004358,0.0004358,0.0004358
81,535.863,0.27255,0.58873,0.8597,0.99425,1,0.995,0.95141,0.28287,0.82302,0.76814,0.000416,0.000416,0.000416
82,542.171,0.31468,0.61618,0.83262,0.99419,1,0.995,0.95453,0.2608,0.76164,0.76641,0.0003962,0.0003962,0.0003962
83,548.647,0.31828,0.55676,0.78895,0.99419,1,0.995,0.95453,0.2608,0.76164,0.76641,0.0003764,0.0003764,0.0003764
84,555.377,0.35478,0.63351,0.86567,0.99418,1,0.995,0.95453,0.24703,0.74077,0.76446,0.0003566,0.0003566,0.0003566
85,561.805,0.29201,0.56593,0.80563,0.99418,1,0.995,0.95453,0.24703,0.74077,0.76446,0.0003368,0.0003368,0.0003368
86,568.296,0.27104,0.5855,0.8596,0.99418,1,0.995,0.95141,0.24474,0.72426,0.76424,0.000317,0.000317,0.000317
87,574.843,0.33498,0.55854,0.8468,0.99418,1,0.995,0.95141,0.24474,0.72426,0.76424,0.0002972,0.0002972,0.0002972
88,581.397,0.28417,0.55094,0.85928,0.9942,1,0.995,0.95141,0.24993,0.70754,0.76526,0.0002774,0.0002774,0.0002774
89,587.924,0.28421,0.52202,0.82498,0.9942,1,0.995,0.95141,0.24993,0.70754,0.76526,0.0002576,0.0002576,0.0002576
90,594.636,0.27852,0.50557,0.84372,0.99418,1,0.995,0.95141,0.2433,0.70918,0.76511,0.0002378,0.0002378,0.0002378
91,601.516,0.2975,0.94173,0.82125,0.99418,1,0.995,0.95141,0.2433,0.70918,0.76511,0.000218,0.000218,0.000218
92,607.83,0.2893,0.88623,0.82184,0.99409,1,0.995,0.95453,0.23838,0.72132,0.76405,0.0001982,0.0001982,0.0001982
93,614.01,0.26058,0.82003,0.84128,0.99409,1,0.995,0.95453,0.23838,0.72132,0.76405,0.0001784,0.0001784,0.0001784
94,620.396,0.2808,0.79164,0.80533,0.99407,1,0.995,0.95753,0.24122,0.73192,0.76441,0.0001586,0.0001586,0.0001586
95,627.041,0.26871,0.73311,0.80185,0.99407,1,0.995,0.95753,0.24122,0.73192,0.76441,0.0001388,0.0001388,0.0001388
96,633.753,0.27342,0.85903,0.83281,0.99402,1,0.995,0.9346,0.24701,0.75643,0.76445,0.000119,0.000119,0.000119
97,640.096,0.25312,0.73847,0.82382,0.99402,1,0.995,0.9346,0.24701,0.75643,0.76445,9.92e-05,9.92e-05,9.92e-05
98,646.479,0.27883,0.74587,0.82772,0.99403,1,0.995,0.93562,0.24647,0.76863,0.76398,7.94e-05,7.94e-05,7.94e-05
99,652.671,0.2769,0.75548,0.82965,0.99403,1,0.995,0.93562,0.24647,0.76863,0.76398,5.96e-05,5.96e-05,5.96e-05
100,659.072,0.2814,0.77522,0.81323,0.99403,1,0.995,0.93562,0.24355,0.77177,0.76337,3.98e-05,3.98e-05,3.98e-05
